,movieId,title,Annee,genres_x,titleType,isAdult,runtimeMinutes,genres_y
0,1,Toy Story,1995,Adventure|Animation|Children|Comedy|Fantasy,movie,0.0,81,"Adventure,Animation,Comedy"
1,2,Jumanji,1995,Adventure|Children|Fantasy,movie,0.0,104,"Adventure,Comedy,Family"
2,3,Grumpier Old Men,1995,Comedy|Romance,movie,0.0,101,"Comedy,Romance"
3,4,Waiting to Exhale,1995,Comedy|Drama|Romance,movie,0.0,124,"Comedy,Drama,Romance"
4,5,Father of the Bride Part II,1995,Comedy,movie,0.0,106,"Comedy,Family,Romance"
5,6,Heat,1995,Action|Crime|Thriller,movie,0.0,102,"Comedy,Drama,Romance"
6,6,Heat,1995,Action|Crime|Thriller,movie,0.0,101,"Action,Crime,Drama"
7,6,Heat,1995,Action|Crime|Thriller,movie,0.0,170,"Crime,Drama,Thriller"
8,6,Heat,1995,Action|Crime|Thriller,movie,0.0,98,Drama
9,6,Heat,1995,Action|Crime|Thriller,movie,0.0,75,Drama
10,6,Heat,1995,Action|Crime|Thriller,movie,0.0,\N,"Action,Drama,Horror"
11,6,Heat,1995,Action|Crime|Thriller,movie,0.0,\N,Comedy
12,6,Heat,1995,Action|Crime|Thriller,movie,0.0,110,Action
13,6,Heat,1995,Action|Crime|Thriller,movie,0.0,\N,\N
14,7,Sabrina,1995,Comedy|Romance,movie,0.0,113,"Comedy,Drama,Romance"
15,7,Sabrina,1995,Comedy|Romance,movie,0.0,127,"Comedy,Drama,Romance"
16,7,Sabrina,1995,Comedy|Romance,movie,0.0,\N,\N
17,7,Sabrina,1995,Comedy|Romance,movie,0.0,\N,\N
18,7,Sabrina,1995,Comedy|Romance,movie,0.0,\N,Drama
19,7,Sabrina,1995,Comedy|Romance,movie,0.0,113,"Horror,Thriller"
20,8,Tom and Huck,1995,Adventure|Children,movie,0.0,97,"Adventure,Comedy,Drama"
21,9,Sudden Death,1995,Action,movie,0.0,90,"Action,Thriller"
